SegmentPair,OverlapRatio,NumCorrespondences
"(0, 5) with (2, 8)",0.2363389139117872,2781
"(3, 7) with (5, 1)",0.23413143148242485,2298
"(0, 8) with (3, 3)",0.23245205734500093,2497
"(0, 2) with (7, 8)",0.23209656513285806,5730
"(0, 5) with (6, 7)",0.23098495793320303,2718
"(2, 8) with (7, 6)",0.23076923076923078,1416
"(4, 4) with (9, 6)",0.22941718888198875,12191
"(0, 5) with (7, 6)",0.22707572023455427,2672
"(0, 3) with (9, 1)",0.22662559320622763,5444
"(3, 9) with (5, 6)",0.2261904761904762,1387
"(0, 8) with (7, 9)",0.22388754421895363,2405
"(6, 3) with (9, 6)",0.22243974453608908,6931
"(5, 1) with (8, 5)",0.2205321658211897,27301
"(4, 7) with (6, 7)",0.22032474804031354,3935
"(0, 2) with (6, 8)",0.21970187945560596,5424
"(3, 9) with (8, 8)",0.21607958251793868,1325
"(5, 1) with (7, 2)",0.21587934989821966,26725
"(4, 1) with (6, 3)",0.21522544941962654,24735
"(0, 6) with (9, 2)",0.21387534818941503,2457
"(2, 7) with (5, 6)",0.21213078502606222,1343
"(0, 6) with (9, 6)",0.21204735376044567,2436
"(6, 3) with (9, 1)",0.2084149042010334,6494
"(7, 3) with (8, 5)",0.20466423253150057,11435
"(0, 5) with (4, 9)",0.20379026089912466,2398
"(8, 7) with (9, 9)",0.20350920548622267,3294
"(0, 6) with (9, 1)",0.20325557103064068,2335
"(0, 6) with (8, 5)",0.20116643454038996,2311
"(3, 3) with (8, 8)",0.20044353462981918,3525
"(7, 5) with (9, 8)",0.2,1
"(7, 5) with (9, 5)",0.2,1
"(1, 4) with (6, 1)",0.2,1
"(1, 4) with (8, 8)",0.2,1
"(3, 8) with (7, 7)",0.19907626717195642,1681
"(0, 6) with (7, 3)",0.19785863509749305,2273
"(1, 3) with (4, 2)",0.1977485645210033,13087
"(0, 6) with (7, 2)",0.193941504178273,2228
"(5, 1) with (7, 3)",0.1936653849882064,23975
"(1, 2) with (9, 7)",0.18691143163666707,12544
"(0, 3) with (5, 5)",0.1860794271917409,4470
"(3, 3) with (7, 7)",0.1842374616171955,3240
"(1, 3) with (7, 2)",0.18274403142943488,12094
"(7, 2) with (8, 5)",0.17972205171789665,11419
"(2, 9) with (7, 3)",0.17536327608982827,1062
"(6, 6) with (9, 1)",0.17382516422435573,2064
"(7, 9) with (8, 8)",0.17312552653748947,1233
"(3, 7) with (7, 3)",0.17116658176260827,1680
"(2, 9) with (7, 2)",0.17107001321003962,1036
"(0, 3) with (9, 6)",0.1694280243110482,4070
"(3, 7) with (7, 2)",0.16912888436067244,1660
"(2, 5) with (9, 9)",0.16715758468335787,1589
"(1, 9) with (7, 7)",0.16655473472128945,1488
"(5, 1) with (9, 1)",0.16624931338653914,20581
"(6, 5) with (7, 6)",0.16602726308056484,4068
"(3, 9) with (7, 7)",0.1651989562948467,1013
"(1, 3) with (4, 4)",0.16512541553339377,10928
"(2, 8) with (9, 9)",0.16509126466753585,1013
"(6, 6) with (9, 4)",0.16472966144517434,1956
"(8, 5) with (9, 2)",0.16470917225950782,5890
"(2, 7) with (8, 5)",0.16142789448744274,1022
"(2, 5) with (7, 6)",0.1601094045865769,1522
"(2, 5) with (7, 8)",0.1598990111508521,1520
"(6, 8) with (7, 6)",0.15929739551786795,1841
"(6, 7) with (7, 8)",0.15722415696933661,1851
"(6, 7) with (7, 6)",0.15671451626603244,1845
"(7, 6) with (8, 7)",0.15417913638306968,2885
"(4, 6) with (7, 3)",0.15305020468644046,6094
"(4, 6) with (7, 2)",0.15264836627571138,6078
"(0, 3) with (8, 5)",0.15244359337274166,3662
"(5, 9) with (6, 1)",0.1523203134565936,2488
"(7, 7) with (8, 8)",0.15182395510264363,2056
"(8, 5) with (9, 6)",0.150251677852349,5373
"(3, 9) with (7, 9)",0.15019569471624267,921
"(1, 3) with (8, 5)",0.14998488969477183,9926
"(1, 9) with (7, 9)",0.1494291470785762,1335
"(1, 3) with (7, 3)",0.1488969477183439,9854
"(7, 6) with (8, 6)",0.14733860624198375,2757
"(8, 5) with (9, 1)",0.14725950782997763,5266
"(5, 6) with (9, 4)",0.14660919029419608,3299
"(1, 8) with (2, 5)",0.1456219269798096,2784
"(7, 8) with (8, 7)",0.14482259232440262,1800
"(1, 3) with (5, 1)",0.1443336355394379,9552
"(1, 8) with (4, 7)",0.1419081493880113,2713
"(5, 6) with (9, 1)",0.14189849791129677,3193
"(3, 8) with (6, 1)",0.14128375177640928,1193
"(1, 2) with (8, 9)",0.14058588627965193,9435
"(5, 9) with (9, 4)",0.1401371372597037,2289
"(5, 1) with (9, 2)",0.13991566771139616,17321
"(6, 7) with (9, 9)",0.13938673235369065,1641
"(2, 7) with (9, 1)",0.1391565313536566,881
"(2, 7) with (5, 9)",0.13773495498341495,872
"(4, 4) with (7, 3)",0.13737556220478367,7300
"(6, 8) with (9, 9)",0.13714631824868045,1585
"(4, 4) with (7, 2)",0.13707446508214305,7284
"(7, 8) with (8, 6)",0.1347654678574302,1675
"(5, 9) with (9, 1)",0.13413738214766743,2191
"(6, 5) with (9, 9)",0.1340706881070933,3285
"(0, 7) with (2, 6)",0.13383970665269776,1533
"(8, 2) with (9, 7)",0.13153633288920774,6417
"(8, 6) with (9, 9)",0.13038005522169888,3211
"(3, 3) with (6, 1)",0.1273171841237348,2239
"(0, 2) with (2, 8)",0.12633668178872326,3119
"(3, 9) with (8, 2)",0.12524461839530332,768
"(0, 8) with (3, 8)",0.12437162539564327,1336
"(2, 7) with (7, 2)",0.12399305007107882,785
"(1, 8) with (7, 6)",0.12354848833559996,2362
"(1, 9) with (3, 3)",0.12312513991493172,1100
"(1, 8) with (4, 9)",0.11758552149806466,2248
"(0, 8) with (6, 1)",0.11711040774529882,1258
"(2, 7) with (7, 3)",0.11641130942978992,737
"(2, 8) with (8, 7)",0.11424380704041721,701
"(1, 9) with (3, 9)",0.11305126483098277,1010
"(0, 2) with (2, 5)",0.11296986390149061,2789
"(3, 3) with (5, 6)",0.11230524280677812,1975
"(0, 9) with (2, 6)",0.11133238501659554,1174
"(2, 8) with (8, 6)",0.11033246414602346,677
"(6, 1) with (9, 1)",0.1103288096403612,10593
"(6, 3) with (7, 3)",0.10963124618890208,3416
"(5, 6) with (6, 1)",0.10936805617278464,2461
"(0, 5) with (7, 8)",0.1091187218492394,1284
"(3, 9) with (5, 9)",0.10909980430528375,669
"(3, 9) with (5, 1)",0.10828440965427266,664
"(6, 5) with (7, 8)",0.10799118439311077,2646
