SegmentPair,OverlapRatio,NumCorrespondences
"(1, 9) with (6, 1)",0.0010073875083948958,9
"(4, 2) with (7, 7)",0.001005557744832928,74
"(0, 2) with (1, 8)",0.0009721322099805574,24
"(0, 9) with (7, 2)",0.000948316737790422,10
"(2, 5) with (9, 1)",0.0009467704607616243,9
"(2, 5) with (9, 6)",0.0009467704607616243,9
"(0, 5) with (5, 5)",0.0009348177105464434,11
"(0, 5) with (5, 1)",0.0009348177105464434,11
"(8, 8) with (9, 7)",0.0009270418095856123,10
"(7, 6) with (8, 5)",0.0009085079093629757,17
"(0, 7) with (7, 2)",0.0008730574471800245,10
"(6, 1) with (8, 6)",0.0008644662701925781,83
"(5, 1) with (8, 6)",0.000856247374713238,106
"(6, 6) with (7, 2)",0.0008421761832575374,10
"(1, 7) with (8, 8)",0.0008262565985770026,18
"(5, 5) with (6, 8)",0.0008179430883809032,19
"(5, 5) with (6, 5)",0.0008179430883809032,19
"(2, 8) with (8, 5)",0.0008148631029986962,5
"(7, 7) with (9, 1)",0.0008122876975335992,11
"(5, 9) with (8, 8)",0.0007958858822088895,13
"(4, 4) with (8, 6)",0.0007715613767665933,41
"(7, 7) with (9, 7)",0.000738443361394181,10
"(1, 7) with (3, 8)",0.0007344503098462245,16
"(8, 6) with (9, 6)",0.0007308754263439987,18
"(0, 6) with (2, 7)",0.0006963788300835655,8
"(4, 1) with (7, 7)",0.0006961000991942641,80
"(4, 2) with (8, 8)",0.0006794309086708973,50
"(1, 9) with (5, 9)",0.000671591672263264,6
"(8, 5) with (9, 9)",0.0006711409395973154,24
"(2, 8) with (4, 5)",0.000651890482398957,4
"(0, 2) with (5, 5)",0.0006480881399870382,16
"(0, 3) with (6, 5)",0.0006244276080259762,15
"(2, 6) with (8, 6)",0.0006234413965087282,5
"(3, 7) with (6, 1)",0.0006113092205807438,6
"(0, 7) with (8, 6)",0.0006111402130260171,7
"(4, 2) with (8, 6)",0.0005978991996303896,44
"(0, 5) with (7, 2)",0.000594883997620464,7
"(0, 5) with (7, 3)",0.000594883997620464,7
"(4, 1) with (9, 9)",0.0005916850843151245,68
"(4, 1) with (8, 6)",0.0005829838330751962,67
"(0, 3) with (7, 6)",0.0005827991008242444,14
"(7, 9) with (9, 4)",0.0005616399887672002,4
"(0, 8) with (9, 1)",0.0005585552038726494,6
"(6, 8) with (7, 3)",0.0005191658734965822,6
"(6, 1) with (8, 8)",0.000499932300834262,48
"(2, 6) with (7, 2)",0.0004987531172069825,4
"(2, 6) with (7, 3)",0.0004987531172069825,4
"(2, 8) with (5, 5)",0.0004889178617992178,3
"(0, 3) with (6, 8)",0.0004579135792190492,11
"(0, 3) with (4, 7)",0.0004579135792190492,11
"(1, 9) with (9, 1)",0.00044772778150884264,4
"(0, 6) with (8, 6)",0.0004352367688022284,5
"(6, 8) with (7, 2)",0.00043263822791381846,5
"(7, 2) with (9, 4)",0.00042494924217385143,27
"(1, 8) with (5, 1)",0.0004184538131603724,8
"(0, 2) with (5, 1)",0.0004050550874918989,10
"(8, 2) with (9, 2)",0.0003894639745823511,19
"(2, 6) with (8, 9)",0.0003740648379052369,3
"(2, 6) with (8, 2)",0.0003740648379052369,3
"(1, 7) with (7, 7)",0.00036722515492311226,8
"(1, 8) with (6, 3)",0.00036614708651532587,7
"(1, 8) with (6, 1)",0.00036614708651532587,7
"(4, 1) with (8, 8)",0.0003567513008370604,41
"(0, 6) with (2, 6)",0.00034818941504178273,4
"(2, 8) with (8, 4)",0.0003259452411994785,2
"(6, 3) with (7, 6)",0.00032093456144292176,10
"(1, 3) with (6, 6)",0.00031731640979147777,21
"(8, 7) with (9, 2)",0.00030890893364636106,5
"(8, 7) with (9, 8)",0.00030890893364636106,5
"(5, 1) with (9, 9)",0.00030695660602927396,38
"(7, 3) with (8, 7)",0.0003042668957617411,17
"(5, 5) with (8, 7)",0.00030134745361401694,7
"(6, 5) with (7, 3)",0.0002856909640029385,7
"(3, 3) with (6, 6)",0.00028431707039690664,5
"(7, 2) with (8, 7)",0.00028329949478256766,18
"(0, 8) with (9, 7)",0.0002792776019363247,3
"(0, 8) with (8, 2)",0.0002792776019363247,3
"(1, 8) with (9, 8)",0.00026153363322523277,5
"(0, 5) with (2, 5)",0.00025495028469448456,3
"(0, 3) with (8, 6)",0.0002497710432103905,6
"(6, 5) with (7, 2)",0.0002448779691453759,6
"(3, 8) with (6, 4)",0.00023685457129322596,2
"(4, 6) with (8, 6)",0.00022603410603511063,9
"(4, 7) with (7, 2)",0.00022396416573348266,4
"(1, 3) with (9, 9)",0.00021154427319431852,14
"(2, 5) with (9, 8)",0.00021039343572480537,2
"(8, 6) with (9, 8)",0.00020302095176222187,5
"(0, 8) with (7, 1)",0.0001861850679575498,2
"(5, 1) with (6, 5)",0.000185789524701929,23
"(5, 1) with (6, 8)",0.000185789524701929,23
"(8, 7) with (9, 5)",0.00018534536018781662,3
"(5, 9) with (6, 6)",0.00018366597281743602,3
"(5, 9) with (8, 9)",0.00018366597281743602,3
"(0, 6) with (2, 5)",0.00017409470752089137,2
"(3, 3) with (4, 4)",0.000170590242238144,3
"(0, 5) with (4, 5)",0.0001699668564629897,2
"(0, 5) with (5, 2)",0.0001699668564629897,2
"(4, 7) with (7, 3)",0.00016797312430011198,3
"(0, 3) with (2, 6)",0.000166514028806927,4
"(2, 8) with (6, 2)",0.00016297262059973924,1
"(2, 8) with (8, 3)",0.00016297262059973924,1
"(0, 2) with (8, 4)",0.00016202203499675956,4
"(0, 2) with (4, 5)",0.00016202203499675956,4
"(2, 7) with (8, 3)",0.000157952930026852,1
"(2, 7) with (6, 5)",0.000157952930026852,1
"(2, 7) with (6, 8)",0.000157952930026852,1
"(2, 7) with (7, 6)",0.000157952930026852,1
"(2, 7) with (7, 8)",0.000157952930026852,1
"(2, 7) with (8, 4)",0.000157952930026852,1
"(7, 2) with (9, 7)",0.00015738860821253758,10
"(1, 8) with (9, 5)",0.00015692017993513966,3
"(1, 8) with (7, 5)",0.00015692017993513966,3
"(1, 3) with (5, 6)",0.0001511030522816561,10
"(1, 3) with (5, 9)",0.0001511030522816561,10
"(4, 6) with (6, 5)",0.0001506894040234071,6
"(5, 6) with (8, 9)",0.0001333214825348858,3
"(5, 6) with (6, 6)",0.0001333214825348858,3
"(4, 6) with (7, 6)",0.00012557450335283924,5
"(8, 6) with (9, 5)",0.00012181257105733311,3
"(3, 8) with (7, 1)",0.00011842728564661298,1
"(3, 3) with (6, 4)",0.00011372682815876265,2
"(4, 4) with (6, 5)",0.00011291142099023316,6
"(1, 9) with (5, 1)",0.00011193194537721066,1
"(7, 6) with (9, 6)",0.00010688328345446772,2
"(7, 6) with (9, 2)",0.00010688328345446772,2
"(7, 6) with (9, 1)",0.00010688328345446772,2
"(1, 3) with (6, 8)",0.00010577213659715926,7
"(1, 3) with (6, 5)",0.00010577213659715926,7
"(2, 5) with (6, 8)",0.00010519671786240269,1
"(2, 5) with (7, 2)",0.00010519671786240269,1
"(2, 5) with (7, 3)",0.00010519671786240269,1
"(2, 5) with (8, 4)",0.00010519671786240269,1
"(2, 5) with (9, 5)",0.00010519671786240269,1
"(1, 8) with (4, 2)",0.0001046134532900931,2
"(4, 4) with (7, 6)",9.409285082519431e-05,5
"(0, 8) with (6, 9)",9.30925339787749e-05,1
"(0, 8) with (1, 9)",9.30925339787749e-05,1
"(7, 3) with (9, 9)",8.949026345933562e-05,5
"(0, 5) with (8, 4)",8.498342823149486e-05,1
"(0, 5) with (8, 3)",8.498342823149486e-05,1
"(0, 5) with (1, 8)",8.498342823149486e-05,1
"(0, 5) with (6, 2)",8.498342823149486e-05,1
"(0, 3) with (2, 5)",8.32570144034635e-05,2
"(0, 2) with (8, 3)",8.101101749837978e-05,2
"(0, 2) with (5, 2)",8.101101749837978e-05,2
"(7, 8) with (8, 4)",8.045699573577922e-05,1
"(7, 8) with (8, 3)",8.045699573577922e-05,1
"(7, 2) with (9, 9)",7.869430410626879e-05,5
"(1, 3) with (3, 3)",7.555152614082804e-05,5
"(4, 6) with (6, 8)",7.534470201170354e-05,3
"(1, 2) with (7, 2)",7.450232447252354e-05,5
"(8, 7) with (9, 6)",6.17817867292722e-05,1
"(1, 3) with (9, 7)",6.044122091266244e-05,4
"(3, 3) with (7, 1)",5.6863414079381326e-05,1
"(4, 7) with (6, 3)",5.5991041433370664e-05,1
"(7, 6) with (8, 4)",5.344164172723386e-05,1
"(7, 6) with (8, 3)",5.344164172723386e-05,1
"(1, 8) with (7, 4)",5.230672664504655e-05,1
"(1, 8) with (8, 5)",5.230672664504655e-05,1
"(7, 2) with (8, 2)",4.7216582463761274e-05,3
"(1, 3) with (4, 7)",4.533091568449683e-05,3
"(4, 2) with (7, 9)",4.076585452025383e-05,3
"(0, 2) with (6, 2)",4.050550874918989e-05,1
"(4, 4) with (6, 8)",3.763714033007772e-05,2
"(4, 1) with (7, 6)",3.4805004959713206e-05,4
"(5, 1) with (8, 8)",3.2311221687291994e-05,4
"(6, 3) with (8, 6)",3.209345614429218e-05,1
"(4, 1) with (7, 9)",2.6103753719784906e-05,3
"(5, 1) with (8, 9)",2.4233416265468997e-05,3
"(5, 1) with (6, 6)",2.4233416265468997e-05,3
"(1, 3) with (7, 6)",1.511030522816561e-05,1
"(5, 1) with (7, 6)",8.077805421822998e-06,1
